Hora,T1,T2,T3,Pressao,Empuxo,Falhas
14:17:13,2675,2650,3225,5,-7,39
14:17:13,2675,2650,3250,0,-7,40
14:17:13,2650,2625,3250,48,-7,40
14:17:14,2650,2650,3250,413,-7,40
14:17:14,2700,2625,3250,169,-7,40
14:17:14,2650,2650,3250,413,-7,40
14:17:14,2625,2600,3225,511,-7,40
14:17:15,2675,2650,3225,527,-7,40
14:17:15,2700,2650,3250,243,-7,40
14:17:15,2625,2650,3225,646,-7,40
14:17:16,2625,2625,3250,296,-7,40
14:17:16,2600,2575,3225,646,-7,40
14:17:16,2700,2650,3250,611,-7,40
14:17:16,2700,2650,3275,429,-7,40
14:17:17,2625,2625,3175,594,-7,40
14:17:17,2600,2625,3250,363,-7,40
14:17:17,2650,2650,3250,594,-7,40
14:17:18,2650,2650,3175,429,-7,40
14:17:18,2675,2650,3250,261,-7,40
14:17:18,2675,2600,3250,261,-7,40
14:17:18,2700,2650,3225,494,-7,41
14:17:19,2700,2650,3275,594,-7,41
14:17:19,2675,2650,3225,628,-7,41
14:17:19,2725,2600,3275,313,-7,41
14:17:19,2675,2650,3200,646,-7,41
14:17:20,2725,2650,3200,664,-7,41
14:17:20,2675,2650,3250,527,-7,41
14:17:20,2675,2600,3250,646,-7,41
14:17:20,2650,2650,3250,363,-7,41
14:17:21,2700,2650,3250,413,-6,41
14:17:21,2650,2600,3225,611,-7,41
14:17:21,2700,2650,3225,429,-7,41
14:17:22,2675,2650,3275,544,-7,41
14:17:22,2725,2600,3250,330,-7,41
14:17:22,2725,2650,3275,330,-7,41
14:17:22,2725,2650,3275,347,-6,41
14:17:23,2650,2625,3250,494,-7,41
14:17:23,2650,2650,3225,527,-7,41
14:17:23,2725,2650,3275,664,-7,41
14:17:24,2675,2550,3200,577,-7,41
14:17:24,2675,2600,3200,646,-7,41
14:17:24,2675,2625,3225,664,-6,41
14:17:24,2700,2600,3250,261,-7,41
14:17:25,2700,2650,3200,278,-7,41
14:17:25,2675,2650,3250,313,-7,41
14:17:25,2700,2650,3225,664,-7,41
14:17:26,2650,2650,3225,313,-7,41
14:17:26,2650,2650,3250,261,-7,41
14:17:26,2700,2650,3225,363,-7,41
14:17:26,2675,2600,3250,363,-6,41
14:17:27,2675,2650,3250,380,-7,41
14:17:27,2700,2600,3225,527,-7,43
14:17:27,2700,2650,3250,413,-7,43
14:17:28,2725,2650,3225,544,-7,44
14:17:28,2725,2625,3250,347,-7,46
14:17:28,2700,2650,3275,611,-7,47
14:17:28,2725,2625,3200,511,-7,47
14:17:29,2700,2650,3225,577,-6,48
14:17:29,2675,2600,3250,429,-7,48
14:17:29,2700,2650,3225,261,-7,48
14:17:29,2725,2625,3225,313,-7,48
14:17:30,2700,2625,3200,646,-6,48
14:17:30,2675,2625,3275,296,-7,48
14:17:30,2725,2625,3250,594,-6,49
14:17:31,2675,2600,3200,560,-7,49
14:17:31,2675,2575,3250,594,-7,49
14:17:31,2725,2600,3225,611,-7,50
14:17:31,2700,2625,3225,560,-7,51
14:17:32,2725,2625,3250,313,-7,51
14:17:32,2725,2625,3200,261,-7,51
14:17:32,2725,2650,3225,243,-7,51
14:17:33,2725,2650,3250,261,-7,51
14:17:33,2675,2625,3275,347,-7,51
14:17:33,2650,2625,3225,646,-7,51
14:17:33,2725,2650,3200,296,-7,51
14:17:34,2725,2650,3200,363,-7,52
14:17:34,2725,2625,3200,347,-7,52
14:17:34,2700,2625,3200,594,-7,52
14:17:35,2725,2650,3200,261,-7,52
14:17:35,2725,2600,3200,594,-7,52
14:17:35,2725,2525,3250,396,-7,52
14:17:35,2675,2650,3250,278,-7,52
14:17:36,2750,2650,3225,243,-7,52
14:17:36,2700,2575,3250,527,-7,52
14:17:36,2725,2650,3225,243,-7,52
14:17:36,2750,2625,3225,527,-7,52
14:17:37,2700,2575,3250,261,-7,52
14:17:37,2725,2625,3250,577,-7,52
